  code-python         40.71 tok/s   192 tok  7d8122d6e722aa26
  code-rust           38.81 tok/s   192 tok  8123bc89dec75472
  explain-c           32.15 tok/s   192 tok  f9c0b852c953aee5
  structured-json     34.85 tok/s   192 tok  edaabcba059726a9
  math                27.13 tok/s   192 tok  61193b54aec3152d
  prose               25.77 tok/s   192 tok  c3b811af6c6cab05
  ops-runbook         29.25 tok/s   192 tok  561c8754b9bf6b9c
  summarize           30.70 tok/s   192 tok  35515eae625cded9
q4_0: mean 32.42 tok/s, overall 31.68 tok/s, output sha 461ca1d809ae1ea0 (8 greedy generations)
warn: LLAMA_ARG_MODEL environment variable is set, but will be overwritten by command line argument -m
warn: LLAMA_ARG_N_GPU_LAYERS environment variable is set, but will be overwritten by command line argument -ngl
warn: LLAMA_ARG_FLASH_ATTN environment variable is set, but will be overwritten by command line argument -fa
warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.00.032.111 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.032.777 W srv  llama_server: -----------------
0.00.032.780 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.032.781 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.032.782 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.032.782 W srv  llama_server: -----------------
0.00.034.314 I srv    load_model: loading model '/huggingface/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/8bdc666649440e9bdc97e16f3f75782c98478ff5/UD-IQ4_XS/Qwen3.8-Flash-Next-UD-IQ4_XS-00001-of-00003.gguf'
0.01.457.923 E llama_model_load: error loading model: borrow_shared_tensor: this model is a draft head without its own 'token_embd.weight'; load it as a draft of its target model, not on its own
0.01.457.932 E llama_model_load_from_file_impl: failed to load model
0.01.458.384 W operator(): failed to measure the memory of the extra model, fitting without it: failed to load model
0.28.066.375 I cmn          init: llama threadpool init, n_threads = 16
0.28.068.438 I common_speculative_init_result: loading draft model '/huggingface/hub/models--unsloth--Qwen3.8-Flash-Next-GGUF/snapshots/8bdc666649440e9bdc97e16f3f75782c98478ff5/MTP/mtp-Qwen3.8-Flash-Next-shared-Q8_0.gguf'
0.29.426.046 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.29.465.115 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.29.465.160 I srv  llama_server: model loaded
0.29.465.166 I srv  llama_server: listening on http://0.0.0.0:8080
0.29.465.167 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.29.465.168 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.31.315.191 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.31.315.255 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.33.203.117 I slot print_timing: id  0 | task 0 | prompt eval time =    1316.67 ms /   210 tokens (    6.27 ms per token,   159.49 tokens per second)
0.33.203.124 I slot print_timing: id  0 | task 0 |        eval time =     571.06 ms /    16 tokens (   38.07 ms per token,    26.27 tokens per second)
0.33.203.125 I slot print_timing: id  0 | task 0 |       total time =    1887.73 ms /   226 tokens
0.33.203.129 I slot print_timing: id  0 | task 0 |    graphs reused =          4
0.33.203.134 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (   10 accepted /    10 generated), mean len =  3.00
0.33.203.250 I slot      release: id  0 | task 0 | stop processing: n_tokens = 225, truncated = 0
0.33.206.957 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1845744054236
0.33.294.824 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.34.974.960 I slot print_timing: id  0 | task 8 | prompt eval time =    1167.86 ms /   192 tokens (    6.08 ms per token,   164.40 tokens per second)
0.34.974.970 I slot print_timing: id  0 | task 8 |        eval time =     512.23 ms /    16 tokens (   34.15 ms per token,    29.28 tokens per second)
0.34.974.971 I slot print_timing: id  0 | task 8 |       total time =    1680.09 ms /   208 tokens
0.34.974.972 I slot print_timing: id  0 | task 8 |    graphs reused =          8
0.34.974.979 I slot print_timing: id  0 | task 8 | draft acceptance = 0.90000 (    9 accepted /    10 generated), mean len =  2.80
0.34.975.061 I slot      release: id  0 | task 8 | stop processing: n_tokens = 207, truncated = 0
0.34.979.362 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1845745826047
0.35.092.640 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
0.38.220.047 I slot print_timing: id  0 | task 17 | n_gen =    129, tg =  42.63 t/s, tg_3s =  42.96 t/s
0.39.692.111 I slot print_timing: id  0 | task 17 | prompt eval time =     124.41 ms /     4 tokens (   31.10 ms per token,    32.15 tokens per second)
0.39.692.117 I slot print_timing: id  0 | task 17 |        eval time =    4474.95 ms /   192 tokens (   23.43 ms per token,    42.68 tokens per second)
0.39.692.118 I slot print_timing: id  0 | task 17 |       total time =    4599.36 ms /   196 tokens
0.39.692.119 I slot print_timing: id  0 | task 17 |    graphs reused =         71
0.39.692.124 I slot print_timing: id  0 | task 17 | draft acceptance = 0.95420 (  125 accepted /   131 generated), mean len =  2.89
0.39.692.194 I slot      release: id  0 | task 17 | stop processing: n_tokens = 401, truncated = 0
0.39.695.590 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1845750543179
0.39.807.039 I slot launch_slot_: id  0 | task 85 | processing task, is_child = 0
0.42.965.300 I slot print_timing: id  0 | task 85 | n_gen =    123, tg =  40.26 t/s, tg_3s =  40.59 t/s
